year,education_allocation_ngn_billion,education_pct_of_budget,education_pct_of_govt_expenditure_wb,education_pct_of_gdp_wb,unesco_benchmark,source
2015,483.20,10.75,6.12,0.40,15,Federal Budget Office/ World Bank/ dataphyeng
2016,480.30,7.92,5.94,0.42,15,Federal Budget Office/ World Bank/ dataphyeng
2017,448.40,6.03,5.85,0.36,15,Federal Budget Office/ World Bank/ dataphyeng
2018,651.20,7.14,5.13,0.36,15,Federal Budget Office/ World Bank/ dataphyeng
2019,634.60,7.12,5.14,0.40,15,Federal Budget Office/ World Bank/ dataphyeng
2020,607.00,5.78,4.30,0.35,15,Federal Budget Office/ World Bank/ dataphyeng
2021,771.50,5.90,3.65,0.32,15,Federal Budget Office/ World Bank/ dataphyeng
2022,923.80,5.39,2.98,0.31,15,Federal Budget Office/ World Bank/ dataphyeng
2023,1070.00,5.21,,,15,Federal Budget Office/ World Bank/ dataphyeng
2024,1590.00,5.52,,,15,Federal Budget Office/ World Bank/ dataphyeng
2025,2520.00,5.47,,,15,Federal Budget Office/ World Bank/ dataphyeng - PROPOSED BUDGET
